location,house_type,sqft,bedrooms,furnishing,constr_info,floor_no,facing,price
 Punjab,Apartments,1481.0,3.0,Semi-Furnished,New Launch,4.0,North-East,8530000.0
 Karnataka,Houses & Villas,1650.0,3.0,Furnished,Ready to Move,,South-East,10500000.0
 Gujarat,Apartments,3051.0,4.0,Semi-Furnished,Ready to Move,2.0,East,17000000.0
 Kerala,Houses & Villas,3000.0,4.0,,,,,15000000.0
 Rajasthan,Apartments,450.0,1.0,Semi-Furnished,Ready to Move,1.0,East,1050000.0
 Rajasthan,Apartments,1200.0,3.0,Semi-Furnished,Ready to Move,1.0,East,2900000.0
 Rajasthan,Apartments,1200.0,3.0,Semi-Furnished,Ready to Move,1.0,East,2900000.0
 Kerala,Houses & Villas,1500.0,3.0,Semi-Furnished,Ready to Move,2.0,East,6000000.0
 Kerala,Houses & Villas,1600.0,3.0,Furnished,Ready to Move,2.0,West,5500000.0
 Tamil Nadu,Apartments,920.0,2.0,Unfurnished,Under Construction,1.0,North-East,4500000.0
 Kerala,Houses & Villas,1400.0,3.0,Semi-Furnished,Under Construction,1.0,East,6500000.0
 Rajasthan,Apartments,1050.0,3.0,Furnished,Ready to Move,1.0,East,2792356.0
 Rajasthan,Apartments,1050.0,3.0,Furnished,Ready to Move,1.0,East,2799632.0
 Rajasthan,Apartments,1150.0,3.0,Furnished,Ready to Move,1.0,East,2796666.0
 Tamil Nadu,Houses & Villas,900.0,2.0,Unfurnished,New Launch,0.0,East,3300000.0
 Kerala,Houses & Villas,1300.0,3.0,Semi-Furnished,Ready to Move,,,4100000.0
 Gujarat,Apartments,0.0,3.0,Unfurnished,Under Construction,7.0,East,3051000.0
 Kerala,Houses & Villas,1650.0,3.0,Semi-Furnished,Ready to Move,,,6500000.0
 Telangana,Apartments,1285.0,2.0,Semi-Furnished,Under Construction,8.0,North-East,3687454.0
 Gujarat,Builder Floors,2100.0,3.0,Unfurnished,Under Construction,1.0,East,4199000.0
 Uttar Pradesh,Houses & Villas,1250.0,3.0,Semi-Furnished,Ready to Move,1.0,East,3250000.0
 Kerala,Houses & Villas,1500.0,3.0,Unfurnished,Under Construction,,East,3800000.0
 Kerala,Houses & Villas,2100.0,4.0,Unfurnished,Under Construction,,East,8000000.0
 Kerala,Houses & Villas,2100.0,3.0,Unfurnished,Under Construction,,East,8000000.0
 Maharashtra,Apartments,938.0,2.0,Furnished,Ready to Move,5.0,East,4929000.0
 Maharashtra,Apartments,985.0,2.0,Semi-Furnished,Ready to Move,9.0,East,5045000.0
 Maharashtra,Apartments,1592.0,3.0,Semi-Furnished,Ready to Move,5.0,East,7240000.0
 Maharashtra,Apartments,791.0,1.0,Semi-Furnished,Ready to Move,4.0,East,3560000.0
 Gujarat,Apartments,125.0,2.0,Unfurnished,Ready to Move,5.0,East,4200000.0
 Punjab,Apartments,1750.0,3.0,Semi-Furnished,Under Construction,7.0,North-East,11500000.0
 Kerala,Houses & Villas,1500.0,4.0,Semi-Furnished,Ready to Move,,,7000000.0
 Kerala,Houses & Villas,1900.0,3.0,Semi-Furnished,Ready to Move,,,5700000.0
 Kerala,Houses & Villas,1500.0,3.0,Semi-Furnished,Ready to Move,,,5000000.0
 Rajasthan,Apartments,1800.0,4.0,Furnished,Ready to Move,1.0,East,8000000.0
 Kerala,Apartments,1200.0,2.0,Semi-Furnished,Ready to Move,2.0,East,4200000.0
 Haryana,Builder Floors,1750.0,3.0,Semi-Furnished,Ready to Move,2.0,East,8200000.0
 Haryana,Apartments,117.0,3.0,Unfurnished,Ready to Move,,South-West,2200000.0
 Kerala,Houses & Villas,1500.0,3.0,Semi-Furnished,Ready to Move,,,6200000.0
 Rajasthan,Apartments,715.0,2.0,Unfurnished,New Launch,1.0,East,2500000.0
 Haryana,Builder Floors,1350.0,3.0,Semi-Furnished,Ready to Move,1.0,East,5500000.0
 Rajasthan,Apartments,850.0,2.0,Semi-Furnished,Ready to Move,2.0,East,2300000.0
 Rajasthan,Apartments,1200.0,3.0,Semi-Furnished,Ready to Move,1.0,East,2900000.0
 Rajasthan,Apartments,850.0,2.0,Semi-Furnished,Ready to Move,2.0,East,2250000.0
 Rajasthan,Apartments,900.0,2.0,,Ready to Move,2.0,East,2200000.0
 Rajasthan,Apartments,1200.0,3.0,Semi-Furnished,Ready to Move,2.0,East,2800000.0
 Rajasthan,Apartments,1200.0,3.0,Semi-Furnished,Ready to Move,1.0,East,2900000.0
