location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
"Sector 88, Mohali, Punjab",['Apartments'],['1481'],['3'],['3'],['Semi-Furnished'],['New Launch'],['4'],['North-East'],"₹ 85,30,000"
"JP Nagar, Mysuru, Karnataka",['Houses & Villas'],['1650'],['3'],['3'],['Furnished'],['Ready to Move'],,['South-East'],"₹ 1,05,00,000"
"Pal Village, Surat, Gujarat",['Apartments'],['3051'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 1,70,00,000"
"Thevara, Kochi, Kerala",['Houses & Villas'],['3000'],['4'],,,,,,"₹ 1,50,00,000"
"Mayur Vihar, Jaipur, Rajasthan",['Apartments'],['450'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 10,50,000"
"Mayur Vihar, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,00,000"
"Hanumant Nagar, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 60,00,000"
"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1600'],['3'],['3'],['Furnished'],['Ready to Move'],['2'],['West'],"₹ 55,00,000"
"Peelamedu, Coimbatore, Tamil Nadu",['Apartments'],['920'],['2'],['2'],['Unfurnished'],['Under Construction'],['1'],['North-East'],"₹ 45,00,000"
"Pantheerankavu, Olavanna, Kerala",['Houses & Villas'],['1400'],['3'],['3'],['Semi-Furnished'],['Under Construction'],['1'],['East'],"₹ 65,00,000"
"Kalwar Road, Jaipur, Rajasthan",['Apartments'],['1050'],['3'],['2'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 27,92,356"
"Niwaru Road, Jaipur, Rajasthan",['Apartments'],['1050'],['3'],['2'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 27,99,632"
"Laxmi Nagar, Jaipur, Rajasthan",['Apartments'],['1150'],['3'],,['Furnished'],['Ready to Move'],['1'],['East'],"₹ 27,96,666"
"Nagondapalli, Mathigiri, Tamil Nadu",['Houses & Villas'],['900'],['2'],['2'],['Unfurnished'],['New Launch'],['0'],['East'],"₹ 33,00,000"
"Edapally, Kochi, Kerala",['Houses & Villas'],['1300'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 41,00,000"
"Waghodia Road, Vadodara, Gujarat",['Apartments'],['00'],['3'],['3'],['Unfurnished'],['Under Construction'],['7'],['East'],"₹ 30,51,000"
"Kazhakoottam, Thiruvananthapuram, Kerala",['Houses & Villas'],['1650'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 65,00,000"
"Patancheru, Hyderabad, Telangana",['Apartments'],['1285'],['2'],['2'],['Semi-Furnished'],['Under Construction'],['8'],['North-East'],"₹ 36,87,454"
"Bill Road, Vadodara, Gujarat",['Builder Floors'],['2100'],['3'],['3'],['Unfurnished'],['Under Construction'],['1'],['East'],"₹ 41,99,000"
"Ved Vyas Puri, Meerut, Uttar Pradesh",['Houses & Villas'],['1250'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 32,50,000"
"Ottapalam, Ottappalam, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 38,00,000"
"Punkunnam, Thrissur, Kerala",['Houses & Villas'],['2100'],['4'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 80,00,000"
"Punkunnam, Thrissur, Kerala",['Houses & Villas'],['2100'],['3'],['3'],['Unfurnished'],['Under Construction'],,['East'],"₹ 80,00,000"
"Kharadi, Pune, Maharashtra",['Apartments'],['938'],['2'],['2'],['Furnished'],['Ready to Move'],['5'],['East'],"₹ 49,29,000"
"Kharadi, Pune, Maharashtra",['Apartments'],['985'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['9'],['East'],"₹ 50,45,000"
"Kalyani Nagar, Pune, Maharashtra",['Apartments'],['1592'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['5'],['East'],"₹ 72,40,000"
"Kharadi, Pune, Maharashtra",['Apartments'],['791'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['4'],['East'],"₹ 35,60,000"
"Chandkheda, Ahmedabad, Gujarat",['Apartments'],['125'],['2'],['2'],['Unfurnished'],['Ready to Move'],['5'],['East'],"₹ 42,00,000"
"Sector 66A, Mohali, Punjab",['Apartments'],['1750'],['3'],['3'],['Semi-Furnished'],['Under Construction'],['7'],['North-East'],"₹ 1,15,00,000"
"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1500'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 70,00,000"
"Vattiyoorkavu, Thiruvananthapuram, Kerala",['Houses & Villas'],['1900'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 57,00,000"
"Vattiyoorkavu, Thiruvananthapuram, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 50,00,000"
"Murlipura, Jaipur, Rajasthan",['Apartments'],['1800'],['4'],['3'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 80,00,000"
"Thripunithura, Kochi, Kerala",['Apartments'],['1200'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 42,00,000"
"Mianwali Colony, Gurgaon, Haryana",['Builder Floors'],['1750'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 82,00,000"
